value,date
4140,2022-11-08 13:16:45
3570,2022-11-09 16:14:06
3370,2022-11-10 07:34:07
1880,2022-11-11 02:21:32
1860,2022-11-12 22:34:09
6020,2022-11-13 20:47:47
4120,2022-11-14 07:47:01
3670,2022-11-15 22:36:11
3760,2022-11-16 07:35:07
3630,2022-11-17 08:26:06
2040,2022-11-18 05:20:43
1840,2022-11-19 00:46:18
1840,2022-11-20 01:30:12
1840,2022-11-21 05:19:51
1810,2022-11-22 01:40:10
1830,2022-11-23 05:16:01
1830,2022-11-24 22:31:46
1810,2022-11-25 01:35:39
1860,2022-11-26 22:33:49
7000,2022-11-27 18:44:48
5910,2022-11-28 23:10:29
4280,2022-11-29 03:46:13
5080,2022-11-30 22:05:34
4090,2022-12-01 08:10:17
1860,2022-12-02 22:11:31
1840,2022-12-03 22:14:27
1830,2022-12-04 22:15:45
1850,2022-12-05 01:25:22
1850,2022-12-06 22:34:29
1840,2022-12-07 22:16:21
1830,2022-12-08 04:41:19
5250,2022-12-09 17:16:42
3740,2022-12-10 01:19:45
3340,2022-12-11 22:44:10
3980,2022-12-12 04:38:45
3570,2022-12-13 01:21:47
3210,2022-12-14 04:26:09
3020,2022-12-15 22:32:22
3730,2022-12-16 22:42:20
3660,2022-12-17 22:17:18
3880,2022-12-18 05:07:20
11250,2022-12-19 22:17:14
9920,2022-12-20 01:25:35
9170,2022-12-21 23:00:28
8830,2022-12-22 22:41:22
9020,2022-12-23 22:53:48
10340,2022-12-24 22:36:53
4400,2022-12-25 07:12:09
10840,2022-12-26 22:17:12
8850,2022-12-27 01:33:20
8940,2022-12-28 22:33:03
8840,2022-12-29 22:35:07
8750,2022-12-30 22:30:58
7060,2022-12-31 05:40:20
9480,2023-01-01 22:34:31
8900,2023-01-02 22:39:31
9120,2023-01-03 22:26:55
10530,2023-01-04 22:27:11
8950,2023-01-05 22:53:04
8990,2023-01-06 22:37:49
9430,2023-01-07 22:47:18
9390,2023-01-08 22:37:36
9100,2023-01-09 22:18:42
8540,2023-01-10 22:53:40
8450,2023-01-11 22:56:03
10050,2023-01-12 23:07:17
8610,2023-01-13 22:55:54
9930,2023-01-14 22:23:14
10070,2023-01-15 22:52:40
10200,2023-01-16 22:32:15
8700,2023-01-17 22:58:02
8710,2023-01-18 23:15:28
9030,2023-01-19 23:17:14
9040,2023-01-20 23:35:25
9990,2023-01-21 05:57:39
8900,2023-01-22 23:01:44
10050,2023-01-23 23:07:36
8980,2023-01-24 23:09:42
10970,2023-01-25 22:36:17
8680,2023-01-26 04:04:09
8410,2023-01-27 22:20:42
8530,2023-01-28 03:01:41
8370,2023-01-29 22:17:31
8390,2023-01-30 22:16:35
8410,2023-01-31 22:21:47
10090,2023-02-01 22:45:22
9980,2023-02-02 22:28:06
8840,2023-02-03 22:48:59
8700,2023-02-04 23:17:19
8960,2023-02-05 23:15:47
8530,2023-02-06 22:50:54
7430,2023-02-07 05:59:19
8700,2023-02-08 22:51:49
8760,2023-02-09 22:37:20
9260,2023-02-10 23:00:58
9040,2023-02-11 22:25:11
8970,2023-02-12 23:15:26
8450,2023-02-13 22:18:59
8320,2023-02-14 22:14:58
8450,2023-02-15 22:34:37
8480,2023-02-16 22:48:09
8450,2023-02-17 23:18:05
8490,2023-02-18 22:58:42
8510,2023-02-19 23:06:05
8360,2023-02-20 22:17:48
8390,2023-02-21 22:49:22
8380,2023-02-22 22:50:00
9340,2023-02-23 23:07:56
8600,2023-02-24 22:29:43
8890,2023-02-25 22:17:11
8850,2023-02-26 22:45:41
8480,2023-02-27 22:46:42
8360,2023-02-28 22:59:57
9970,2023-03-01 22:18:44
11210,2023-03-02 22:39:26
8370,2023-03-03 22:47:32
8590,2023-03-04 22:38:02
8610,2023-03-05 23:25:20
8420,2023-03-06 22:15:58
8360,2023-03-07 22:31:23
8460,2023-03-08 22:48:03
8410,2023-03-09 23:01:25
8650,2023-03-10 22:48:03
8730,2023-03-11 22:36:52
8690,2023-03-12 22:36:55
8360,2023-03-13 22:52:03
9510,2023-03-14 22:45:57
8310,2023-03-15 23:05:48
8340,2023-03-16 22:50:07
8560,2023-03-17 22:53:53
8500,2023-03-18 22:36:45
8690,2023-03-19 22:35:30
4520,2023-03-20 08:12:09
4710,2023-03-21 08:24:22
3070,2023-03-22 08:52:06
9690,2023-03-23 22:23:01
9060,2023-03-24 23:07:48
2310,2023-03-25 18:26:49
2540,2023-03-26 11:57:06
8540,2023-03-27 11:28:53
8460,2023-03-28 22:40:01
8490,2023-03-29 22:38:17
8500,2023-03-30 22:10:46
8310,2023-03-31 22:28:24
8520,2023-04-01 22:48:33
8350,2023-04-02 22:20:26
8340,2023-04-03 22:14:14
8450,2023-04-04 22:59:42
8410,2023-04-05 22:09:43
8350,2023-04-06 22:11:17
8530,2023-04-07 22:10:48
8510,2023-04-08 22:41:00
8350,2023-04-09 22:10:14
8280,2023-04-10 22:35:13
8520,2023-04-11 22:11:23
8340,2023-04-12 22:38:51
9090,2023-04-13 22:51:06
8410,2023-04-14 22:36:45
10100,2023-04-15 22:21:06
8470,2023-04-16 22:41:51
8270,2023-04-17 22:27:05
8430,2023-04-18 22:59:31
8390,2023-04-19 22:15:03
8340,2023-04-20 22:45:56
8440,2023-04-21 22:46:37
8400,2023-04-22 22:15:12
8370,2023-04-23 22:15:25
2980,2023-04-24 08:11:50
3580,2023-04-25 09:47:55
3690,2023-04-26 08:22:15
1890,2023-04-27 00:23:43
1890,2023-04-28 22:30:01
1870,2023-04-29 01:06:10
1890,2023-04-30 22:29:55
1870,2023-05-01 22:06:46
1900,2023-05-02 05:17:42
3600,2023-05-03 08:37:09
2940,2023-05-04 07:13:30
1990,2023-05-05 18:14:03
3330,2023-05-06 15:42:17
1910,2023-05-07 23:08:22
1900,2023-05-08 00:10:47
1890,2023-05-09 22:15:12
1920,2023-05-10 10:28:11
3700,2023-05-11 22:30:14
2910,2023-05-12 08:26:06
2400,2023-05-13 14:48:30
3670,2023-05-14 02:30:10
3470,2023-05-15 02:11:38
2800,2023-05-16 07:09:38
2810,2023-05-17 07:09:28
2940,2023-05-18 07:09:42
1870,2023-05-19 22:15:28
1910,2023-05-20 00:36:26
2530,2023-05-21 13:44:36
3150,2023-05-22 19:40:42
2160,2023-05-23 18:27:39
2950,2023-05-24 16:35:00
2030,2023-05-25 22:15:32
2000,2023-05-26 22:20:55
1920,2023-05-27 00:23:19
1890,2023-05-28 00:36:42
1910,2023-05-29 22:11:33
1930,2023-05-30 22:17:26
1960,2023-05-31 22:47:20
1940,2023-06-01 22:21:20
1920,2023-06-02 04:33:03
1930,2023-06-03 01:38:22
2100,2023-06-04 20:32:42
3810,2023-06-05 22:42:11
3440,2023-06-06 19:38:21
2020,2023-06-07 00:23:05
3400,2023-06-08 19:30:21
3420,2023-06-09 12:01:21
2060,2023-06-10 22:06:31
2070,2023-06-11 20:22:17
2070,2023-06-12 02:10:18
2030,2023-06-13 18:55:31
1990,2023-06-14 19:29:48
3830,2023-06-15 22:37:55
3750,2023-06-16 22:35:27
2010,2023-06-17 17:58:27
1920,2023-06-18 22:36:25
2090,2023-06-19 22:12:55
2060,2023-06-20 00:24:01
1950,2023-06-21 22:30:45
1980,2023-06-22 09:00:54
1890,2023-06-23 00:17:56
1910,2023-06-24 11:27:00
2080,2023-06-25 22:29:38
1950,2023-06-26 22:23:01
1930,2023-06-27 22:39:27
1870,2023-06-28 05:53:11
1890,2023-06-29 01:11:57
2080,2023-06-30 22:15:23
1980,2023-07-01 23:00:57
1910,2023-07-02 22:34:40
3460,2023-07-03 22:33:17
3910,2023-07-04 23:11:04
2190,2023-07-05 01:44:07
2180,2023-07-06 01:39:57
1990,2023-07-07 22:35:11
1940,2023-07-08 03:17:27
1890,2023-07-09 00:20:18
3820,2023-07-10 22:19:41
1970,2023-07-11 01:53:38
2040,2023-07-12 22:03:55
2010,2023-07-13 20:45:10
1920,2023-07-14 23:12:23
2310,2023-07-15 15:38:56
1890,2023-07-16 22:10:03
1950,2023-07-17 22:08:15
3730,2023-07-18 22:29:11
2140,2023-07-19 00:12:02
1930,2023-07-20 22:23:36
2830,2023-07-21 20:15:42
1900,2023-07-22 00:22:05
1920,2023-07-23 00:17:09
1840,2023-07-24 00:53:26
1900,2023-07-25 22:12:48
1890,2023-07-26 03:07:03
1930,2023-07-27 23:05:55
2080,2023-07-28 19:35:51
2720,2023-07-29 09:49:12
1870,2023-07-30 00:14:45
120,2023-07-31 00:08:58
120,2023-08-01 00:22:48
120,2023-08-02 00:22:15
120,2023-08-03 00:31:30
120,2023-08-04 00:38:21
120,2023-08-05 00:41:15
120,2023-08-06 00:34:16
120,2023-08-07 00:30:17
120,2023-08-08 00:04:53
120,2023-08-09 00:38:12
120,2023-08-10 00:27:32
120,2023-08-11 00:17:04
120,2023-08-12 00:05:03
120,2023-08-13 00:38:34
130,2023-08-14 20:55:16
120,2023-08-15 00:21:19
120,2023-08-16 00:14:18
120,2023-08-17 00:06:17
120,2023-08-18 00:03:45
120,2023-08-19 00:05:04
120,2023-08-20 00:05:26
120,2023-08-21 00:05:34
120,2023-08-22 00:17:23
120,2023-08-23 00:04:18
120,2023-08-24 00:05:04
120,2023-08-25 00:45:44
120,2023-08-26 00:05:18
120,2023-08-27 00:24:42
120,2023-08-28 00:05:01
130,2023-08-29 20:42:01
120,2023-08-30 00:08:46
2190,2023-08-31 23:51:35
3760,2023-09-01 22:51:55
2140,2023-09-02 00:13:22
2210,2023-09-03 22:49:51
1900,2023-09-04 05:38:52
3050,2023-09-05 00:27:38
2150,2023-09-06 19:36:49
1960,2023-09-07 00:07:44
2100,2023-09-08 02:11:02
1930,2023-09-09 22:14:10
1910,2023-09-10 22:14:14
1880,2023-09-11 22:59:37
1910,2023-09-12 22:43:04
1880,2023-09-13 22:43:35
2170,2023-09-14 02:02:40
1900,2023-09-15 22:07:45
2070,2023-09-16 23:59:38
3700,2023-09-17 00:22:06
1890,2023-09-18 22:09:42
1920,2023-09-19 22:37:16
2110,2023-09-20 12:12:41
3390,2023-09-21 22:02:28
1880,2023-09-22 22:09:04
1930,2023-09-23 23:09:37
1950,2023-09-24 20:51:29
2030,2023-09-25 19:33:49
2060,2023-09-26 19:13:23
1920,2023-09-27 22:10:04
2000,2023-09-28 20:27:56
1970,2023-09-29 22:10:13
1900,2023-09-30 22:09:33
1920,2023-10-01 22:52:05
2070,2023-10-02 20:16:53
2000,2023-10-03 12:10:40
1920,2023-10-04 22:40:58
3660,2023-10-05 22:14:01
1890,2023-10-06 13:00:43
1880,2023-10-07 22:11:06
1890,2023-10-08 03:52:24
1910,2023-10-09 11:02:57
2980,2023-10-10 22:25:41
3660,2023-10-11 23:59:34
3680,2023-10-12 23:18:59
1950,2023-10-13 00:03:54
2120,2023-10-14 12:57:21
2220,2023-10-15 22:01:37
3050,2023-10-16 08:34:53
10160,2023-10-17 22:15:52
9300,2023-10-18 22:50:17
3100,2023-10-19 08:09:09
9890,2023-10-20 22:13:57
8460,2023-10-21 22:54:14
8450,2023-10-22 05:11:58
7860,2023-10-23 05:24:01
8380,2023-10-24 22:45:15
8750,2023-10-25 23:23:59
9960,2023-10-26 23:28:16
8310,2023-10-27 22:39:21
8450,2023-10-28 22:45:08
8240,2023-10-29 23:44:02
8400,2023-10-30 22:25:38
8580,2023-10-31 23:05:44
8440,2023-11-01 23:06:54
10200,2023-11-02 23:17:12
7880,2023-11-03 00:04:03
2490,2023-11-04 22:10:51
8660,2023-11-05 22:45:11
8300,2023-11-06 22:14:24
9880,2023-11-07 22:30:04
8760,2023-11-08 23:10:21
8810,2023-11-09 23:20:07
8880,2023-11-10 23:14:41
8660,2023-11-11 23:32:33
8290,2023-11-12 23:49:31
8460,2023-11-13 23:04:01
8590,2023-11-14 23:10:08
10030,2023-11-15 23:56:51
8360,2023-11-16 23:17:30
8420,2023-11-17 23:12:06
8500,2023-11-18 00:12:08
8460,2023-11-19 04:50:39
10070,2023-11-20 23:14:42
8310,2023-11-21 22:19:55
