value,date
32676,2023-03-09
13838,2023-03-10
17442,2023-03-11
15894,2023-03-12
30852,2023-03-13
28856,2023-03-14
30641,2023-03-15
30822,2023-03-16
16094,2023-03-17
14680,2023-03-18
15817,2023-03-19
25809,2023-03-20
20895,2023-03-21
18889,2023-03-22
25916,2023-03-23
19554,2023-03-24
10951,2023-03-25
14595,2023-03-26
41761,2023-03-27
30646,2023-03-28
28270,2023-03-29
20330,2023-03-30
14559,2023-03-31
17691,2023-04-01
20080,2023-04-02
27614,2023-04-03
26423,2023-04-04
26775,2023-04-05
28333,2023-04-06
22893,2023-04-07
23887,2023-04-08
21276,2023-04-09
22339,2023-04-10
19316,2023-04-11
19473,2023-04-12
23178,2023-04-13
21997,2023-04-14
20778,2023-04-15
22598,2023-04-16
23704,2023-04-17
21966,2023-04-18
20893,2023-04-19
20297,2023-04-20
20178,2023-04-21
17006,2023-04-22
16715,2023-04-23
12611,2023-04-24
11432,2023-04-25
13403,2023-04-26
4471,2023-04-27
2536,2023-04-28
2282,2023-04-29
2266,2023-04-30
2307,2023-05-01
2244,2023-05-02
16458,2023-05-03
8259,2023-05-04
6322,2023-05-05
7359,2023-05-06
7531,2023-05-07
7110,2023-05-08
4936,2023-05-09
7694,2023-05-10
9902,2023-05-11
10006,2023-05-12
12663,2023-05-13
11982,2023-05-14
10864,2023-05-15
10251,2023-05-16
11440,2023-05-17
9595,2023-05-18
2857,2023-05-19
2290,2023-05-20
8565,2023-05-21
11798,2023-05-22
8734,2023-05-23
7151,2023-05-24
6286,2023-05-25
4521,2023-05-26
2905,2023-05-27
2208,2023-05-28
3442,2023-05-29
3534,2023-05-30
3853,2023-05-31
4317,2023-06-01
4742,2023-06-02
4939,2023-06-03
5899,2023-06-04
5267,2023-06-05
6084,2023-06-06
5815,2023-06-07
7280,2023-06-08
5423,2023-06-09
5610,2023-06-10
6359,2023-06-11
5966,2023-06-12
6825,2023-06-13
7900,2023-06-14
6859,2023-06-15
7440,2023-06-16
5563,2023-06-17
4413,2023-06-18
6061,2023-06-19
6064,2023-06-20
3887,2023-06-21
5521,2023-06-22
4338,2023-06-23
3550,2023-06-24
3334,2023-06-25
3960,2023-06-26
3587,2023-06-27
3347,2023-06-28
2621,2023-06-29
3687,2023-06-30
3808,2023-07-01
4605,2023-07-02
4099,2023-07-03
4954,2023-07-04
5147,2023-07-05
7493,2023-07-06
4166,2023-07-07
3895,2023-07-08
3168,2023-07-09
5772,2023-07-10
3980,2023-07-11
